sender,receiver,date,location,identifier
SLC,J. Henry Harper,29 August 1898,Kaltenleutgeben, Austria,UCCL05427 CU-MARK
SLC,William D. Howells,30 August 1898,Kaltenleutgeben, Austria,UCCL05428 MH-H
SLC,J. Henry Harper,30 August 1898,Kaltenleutgeben, Austria,UCCL05429 InU-Li
SLC,Edward W. Bok,2 September 1898,Kaltenleutgeben, Austria,UCCL05431 ViU
SLC,F. B. Bowyer-Lane,10 September 1898,Kaltenleutgeben, Austria,UCCL13490 CU-MARK
Clara L. Clemens,James R. Clemens,10 September 1898,Kaltenleutgeben, Austria,UCCL11016 CtHMTH
OLC,Susan L. Crane,11 September 1898,Kaltenleutgeben, Austria,UCCL12842 CU-MARK
SLC and OLC,Joseph H. Twichell,13 September 1898,Kaltenleutgeben, Austria,UCCL05432
OLC,Chatto & Windus,13 September 1898,Kaltenleutgeben, Austria,UCCL06689 NN-BGC
SLC,John Y. MacAlister,14 September 1898,Kaltenleutgeben, Austria,UCCL05433 CU-MARK
SLC,Henry H. Rogers,14 September 1898,Kaltenleutgeben, Austria,UCCL05434 Salm
SLC,John Brisben Walker,19 September 1898,Kaltenleutgeben, Austria,UCCL05435 NN5
SLC,Franklin G. Whitmore,20–25 September 1898,Kaltenleutgeben, Austria,UCCL08654 CU-MARK
Olivia L. Clemens for SLC,Tabitha Greening,20–25 September 1898,Kaltenleutgeben, Austria,UCCL11253 MoFuWC
SLC,Henry H. Rogers,21 September 1898,Kaltenleutgeben, Austria,UCCL05436 Salm
OLC,Chatto & Windus,24 September 1898,Kaltenleutgeben, Austria,UCCL06707 NN-BGC
SLC,Joseph H. Twichell,25 September 1898,Unknown place,UCCL12889 CtY-BR
SLC,Bram Stoker,25 September 1898,Kaltenleutgeben, Austria,UCCL05437 CU-MARK
SLC,Henry H. Rogers,26 September 1898,Kaltenleutgeben, Austria,UCCL05438 Salm
SLC,Edward W. Bok,26 September 1898,Vienna, Austria,UCCL11468 CLjC
SLC,Chatto & Windus,26 September 1898,Kaltenleutgeben, Austria,UCCL05494 NN-BGC
SLC,Henry H. Rogers,1 October 1898,Kaltenleutgeben, Austria,UCCL05440 Salm
SLC,Blanche Walsh,November–December 1898,Vienna, Austria,UCCL13408
SLC,H. Q. Russ,3 October 1898,Kaltenleutgeben, Austria,UCCL05441 NNC
SLC,James B. Pond,7 October 1898,Kaltenleutgeben, Austria,UCCL05495 NN-BGC
OLC,Mary B. Cheney,7 October 1898,Kaltenleutgeben, Austria,UCCL05445 CtHMTH
SLC,Bram Stoker,8 October 1898,Vienna, Austria,UCCL13311
SLC,Edward W. Bok,10 October 1898,Kaltenleutgeben, Austria,UCCL05446 ViU
SLC,Caro S. Senour,10 October 1898,Vienna, Austria,UCCL09918 2013
SLC,Wirt Fountain Pen,11 October 1898,Kaltenleutgeben, Austria,UCCL05447 CtHMTH
SLC,Chatto & Windus,12 October 1898,Kaltenleutgeben, Austria,UCCL05496 NN-BGC
SLC,Bettina Wirth,17 October 1898,Vienna, Austria,UCCL12469 InFw2 2025
SLC,Unidentified,18 October 1898,Vienna, Austria,UCCL13748
SLC,Henry H. Rogers,18 October 1898,Vienna, Austria,UCCL05450 Salm
SLC,Francis E. Bliss,18 October 1898,Vienna, Austria,UCCL05449 2022
SLC,Edmund Kloieda,19 October 1898,Vienna, Austria,UCCL05451 ViU
SLC,William M. and Georgiana R. Laffan,20 October 1898,Vienna, Austria,UCCL13010 CU-MARK
SLC,Sigmund Schlesinger,20 October 1898,Vienna, Austria,UCCL05452 MiD
SLC,Laurence Hutton,20 October 1898,Vienna, Austria,UCCL05453 NjP
SLC,Franklin G. Whitmore,20 October 1898,Vienna, Austria,UCCL10145 CU-MARK
SLC,Annette Hullah,22 October 1898,Vienna, Austria,UCCL05454 CU-MARK
SLC,Unidentified,28 October 1898,Vienna, Austria,UCCL12563
SLC,James M. Tuohy,2 November 1898,Vienna, Austria,UCCL05458 CCamarSJ , CtWep1
SLC,Henry M. Alden,2 November 1898,Vienna, Austria,UCCL05456 CtY
SLC,Henry H. Rogers,2 November 1898,Vienna, Austria,UCCL05457 CU-MARK
SLC,Rebecca Spring,6 November 1898,Vienna, Austria,UCCL05462 CU-MARK
SLC,James B. Pond,6 November 1898,Vienna, Austria,UCCL05498 NN-BGC
SLC,Franklin G. Whitmore,6 November 1898,Vienna, Austria,UCCL04747
SLC,Charles W. Stoddard,6 November 1898,Vienna, Austria,UCCL05460 CSmH
SLC,Richard Watson Gilder,6–13 November 1896,Vienna, Austria,UCCL05459 CtY
SLC,Henry H. Rogers,6–7 November 1898,Vienna, Austria,UCCL05461 Salm
SLC,James M. Tuohy,8 November 1898,Vienna, Austria,UCCL05463 CCamarSJ
SLC,Unidentified,10 November 1898,Vienna, Austria,UCCL05464 IU-R
SLC,James M. Tuohy,10 November 1898,Vienna, Austria,UCCL05465 CCamarSJ
SLC,Henry H. Rogers,12 November 1898,Vienna, Austria,UCCL05584 CU-MARK
SLC,Henry H. Rogers,12 November 1898,Vienna, Austria,UCCL05466 Salm
SLC,Chatto & Windus,13 November 1898,Vienna, Austria,UCCL01289 UkReU
SLC,Unidentified,15 November 1898,Unknown place,UCCL09357 CU-MARK
SLC,Louise Yates Waring,15 November 1898,Vienna, Austria,UCCL13245 Mn3 2022
SLC,John Malone,16 November 1898,Vienna, Austria,UCCL05468 CU-MARK
SLC,Nikola Tesla,17 November 1898,Vienna, Austria,UCCL05471 YuB2
SLC,Henry H. Rogers,17 November 1898,Vienna, Austria,UCCL05469 Salm
SLC,Francis E. Bliss,17 November 1898,Vienna, Austria,UCCL05470 CU-MARK
SLC,Chatto & Windus,19 November 1898,Vienna, Austria,UCCL01390 UkReU
SLC,Harper & Brothers,21 November 1898,Vienna, Austria,UCCL05419 CU-MARK
SLC,Bettina Wirth,26–28 November 1898,Vienna, Austria,UCCL05497 NN-BGC 2025
SLC,Philip A. Conne,28 November 1898,Vienna, Austria,UCCL13716 2015
SLC,Unidentified,29 November 1898,Vienna, Austria,UCCL13749 2016
SLC,Gentlemen,29 November 1898,Vienna, Austria,UCCL11990 UkChel2
SLC,Auguste Wilbrandt,30 November 1898,Vienna, Austria,UCCL12001
SLC,Unidentified,December 1898,Vienna, Austria,UCCL14002 2023
SLC,Unidentified,2 December 1898,Vienna, Austria,UCCL09358 WaS
SLC,Marianna Brandt Bunce,2 December 1898,Vienna, Austria,UCCL05474 CtHMTH
SLC,Joseph H. Twichell,2 December 1898,Vienna, Austria,UCCL05473 CtHT-W
SLC,John Adams,5 December 1898,Vienna, Austria,UCCL05159 CLU-SC 2024
SLC,Henry H. Rogers,8–13 December 1898,Vienna, Austria,UCCL05476 Salm
SLC,James M. Tuohy,9 December 1898,Vienna, Austria,UCCL05477 ViU
SLC,Unidentified,10 December 1898,Vienna, Austria,UCCL13281 2012
SLC,Francis E. Bliss,10 December 1898,Vienna, Austria,UCCL05478 NSyU
SLC,Harper & Brothers,12 December 1898,Vienna, Austria,UCCL05479 CU-MARK
SLC,Richard Watson Gilder,13 December 1898,Vienna, Austria,UCCL12843 CU-MARK
SLC,Poultney Bigelow,19 December 1898,Vienna, Austria,UCCL05481 NMh
SLC,Franklin G. Whitmore,19 December 1898,Vienna, Austria,UCCL05482 CU-MARK
Clara L. Clemens,James R. Clemens,23 December 1898,Vienna, Austria,UCCL11310 CU-MARK
Clara L. Clemens,Malvine Bree,24 December 1898,Vienna, Austria,UCCL10945 CU-MARK
SLC,Frau Von Dutschka,25 December 1898,Vienna, Austria,UCCL11628
SLC,Eduard Potzl,25 December 1898,Vienna, Austria,UCCL12359 CU-MARK
SLC,Henry H. Rogers,27 December 1898,Vienna, Austria,UCCL05484 Salm
SLC,Henry H. Rogers,27 December 1898,Vienna, Austria,UCCL05483 Salm
SLC,Richard Watson Gilder,28 December 1898,Vienna, Austria,UCCL10090
SLC,Miss Solomons,28 December 1898,Vienna, Austria,UCCL05485 CU-MARK
SLC,William D. Howells,30 December 1898–3 January 1899,Vienna, Austria,UCCL05499 NN-BGC , MH-H
SLC,Unidentified,Unknown date,Vienna, Austria,UCCL09680
SLC,Fritz Kreisler,Unknown date,Vienna, Austria,UCCL09991 CU-MARK
SLC,Francis E. Bliss,Unknown date,Unknown place,UCCL09857
SLC,Annette Hullah,1898,Vienna, Austria,UCCL13302
SLC,A. G. S. Batchelor Secretary Newport Literary Society,1898,UCCL12966
OLC,Charlemagne Tower,1898,Unknown place,UCCL03989 ViU
SLC,Sigmund Schlesinger,1 January 1899,Vienna, Austria,UCCL05455 CU-MARK
SLC,Francis E. Bliss,1 January 1899,Vienna, Austria,UCCL05472 NNC
SLC,Franklin G. Whitmore,January–May 1899,Vienna, Austria,UCCL05530 CU-MARK
SLC,Joseph H. Twichell,3 January 1899,Vienna, Austria,UCCL05533 CtY
SLC,Henry H. Rogers,3 January 1899,Vienna, Austria,UCCL05532 Salm
SLC,Henry H. Rogers,3 January 1899,Vienna, Austria,UCCL05475 CU-MARK
SLC,Andrew Chatto,5 January 1899,Vienna, Austria,UCCL14122 2025
SLC,Richard Watson Gilder,6 January 1899,Vienna, Austria,UCCL05534 CU-MARK
SLC,William T. Stead,9 January 1899,Vienna, Austria,UCCL10946
SLC,William T. Stead,9 January 1899,Vienna, Austria,UCCL05535 CU-MARK
SLC,Eva H. Nansen,13 January 1899,Vienna, Austria,UCCL05536 NoOU
OLC,Fridtjof Nansen,13–14 January 1899,Vienna, Austria,UCCL13860 NoOU 2019
SLC,Henry H. Rogers,21 January 1899,Vienna, Austria,UCCL05061 CU-MARK
SLC,Franklin G. Whitmore,21 January 1899,Vienna, Austria,UCCL05537 CtHMTH
SLC,Henry H. Rogers,24 January 1899,Vienna, Austria,UCCL05538 Salm
SLC,C. S. Mason,26 January 1899,Vienna, Austria,UCCL11361 CU-MARK
SLC,Josefa Schneider von Arno,27 January 1899,Vienna, Austria,UCCL13507
OLC,Susan L. Crane,31 January–1 February 1899,Vienna, Austria,UCCL12844 CU-MARK
SLC,Wayne MacVeagh,2 February 1899,Vienna, Austria,UCCL12462 InFw2
SLC,Richard Watson Gilder,2 February 1899,Vienna, Austria,UCCL05542 NN
SLC,John M. Hay,2 February 1899,Vienna, Austria,UCCL05540 DLC
SLC,Henry H. Rogers,2 February 1899,Vienna, Austria,UCCL05543 CU-MARK
SLC,Francis E. Bliss,2 February 1899,Vienna, Austria,UCCL05539
SLC,Chauncey M. Depew,2 February 1899,Vienna, Austria,UCCL05541 NN
SLC,Joseph H. Twichell,4 February 1899,Vienna, Austria,UCCL12845 CU-MARK
SLC,Chatto & Windus,5 February 1899,Vienna, Austria,UCCL13403
SLC and OLC,Pamela Clemens Moffett,6 February 1899,London, England,UCCL11692 CU-MARK
SLC,Chatto & Windus,7 February 1899,Vienna, Austria,UCCL05544 CU-MARK
SLC,Unidentified,11 February 1899,Vienna, Austria,UCCL05545 IU-R
SLC,Charles D. Warner,15 February 1899,Vienna, Austria,UCCL05546 ViU
SLC,Annette Hullah,17 February 1899,Vienna, Austria,UCCL11604 Axelrod
SLC,Henry H. Rogers,19 February 1899,Vienna, Austria,UCCL05547 Salm
SLC,John Tatlock,21 February 1899,Vienna, Austria,UCCL13863 2019
SLC,Thomas Catling,25 February 1899,Vienna, Austria,UCCL08666 CU-MARK 2015
SLC,Richard Watson Gilder,25 February 1899,Vienna, Austria,UCCL05548 CtY-BR
SLC,Franklin G. Whitmore,25 February 1899,Vienna, Austria,UCCL05549 CU-MARK
SLC,John B. Downing,26 February 1899,Vienna, Austria,UCCL05550 CU-MARK , CU-MARK 2015
SLC,Robert Lutz,27 February 1899,Vienna, Austria,UCCL05551 MB
SLC,Francis E. Bliss,27 February 1899,Vienna, Austria,UCCL05552 CLjC
SLC,Unidentified,March 1899,Vienna, Austria,UCCL09359 CLU-SC
SLC,Poultney Bigelow,March 1899,Vienna, Austria,UCCL05553 NMh
Clara L. Clemens,James B. Pond,March 1899,Baden, Austria,UCCL06771 NN-BGC
SLC,John K. Bangs,1–12 March 1899,Vienna, Austria,UCCL05600 NN-BGC
SLC,Countess Lutzow,2 March 1899,Vienna, Austria,UCCL11087 C7
SLC,James M. Tuohy,3 March 1899,Vienna, Austria,UCCL05554 CCamarSJ
SLC,James R. Clemens,5 March 1899,Vienna, Austria,UCCL05555 CtHMTH
SLC,Rudyard Kipling,7 March 1899,Vienna, Austria,UCCL05557 UK-BtUSL
SLC,Francis H. Skrine,9 March 1899,Vienna, Austria,UCCL05558 ViU
SLC,Auguste Wilbrandt,10 March 1899,Vienna, Austria,UCCL05559 CU-MARK
Clara L. Clemens,OLC,10–17 March 1899,Baden, Austria,UCCL11690 CSmH
SLC,John M. Hay,11 March 1899,Vienna, Austria,UCCL09028 ViU
SLC,John M. Hay,11 March 1899,Vienna, Austria,UCCL05560 DLC
SLC,Laurence Hutton,12 March 1899,Vienna, Austria,UCCL05561 NjP
SLC,Francis E. Bliss,12 March 1899,Vienna, Austria,UCCL12447
SLC,Richard Watson Gilder,14 March 1899,Vienna, Austria,UCCL05562 NN
SLC,Mrs. Mohr,14 March 1899,Vienna, Austria,UCCL13590
SLC,Henry H. Rogers,14 March 1899,Vienna, Austria,UCCL05563 Salm
SLC,Chatto & Windus,16 March 1899,Vienna, Austria,UCCL05564 TxU-Hu
SLC,Poultney Bigelow,22 March 1899,Vienna, Austria,UCCL05565 NMh
SLC,James M. Tuohy,22 March 1899,Vienna, Austria,UCCL05567 CCamarSJ
OLC,Mrs. James A. Haldane,22 March 1899,London, England,UCCL05566 StEdNL
SLC,Joseph H. Twichell,22–23 March 1899,Budapest, Hungary,UCCL12846 CU-MARK
SLC,Annette Hullah,23 March 1899,Vienna, Austria,UCCL05568 CU-MARK
SLC,Unidentified,25 March 1899,Budapest, Hungary,UCCL09360
SLC,Unidentified,27 March 1899,Budapest, Hungary,UCCL11088 C7
SLC,Bertha von Suttner,27 March 1899,Budapest, Hungary,UCCL05569 MoHi
SLC and OLC,Katharine B. Clemens,29 March 1899,Vienna, Austria,UCCL05570 CtHMTH
OLC,James R. Clemens,29 March 1899,Vienna, Austria,UCCL08854 CtHMTH
OLC,Francis E. Bliss,31 March 1899,Vienna, Austria,UCCL12101 ViU
SLC,Francis E. Bliss,31 March–2 April 1899,Vienna, Austria,UCCL05571 CtHMTH
SLC,Joseph H. Twichell,April 1899,Vienna, Austria,UCCL05577 CU-MARK
SLC,Poultney Bigelow and Edith E. Bigelow,2 April 1899,Vienna, Austria,UCCL05573 NMh
SLC,Chatto & Windus,2 April 1899,Vienna, Austria,UCCL05602 NN-BGC
SLC,William D. Howells,2–13 April 1899,Vienna, Austria,UCCL05601 NN-BGC
SLC,Robert Lutz,3 April 1899,Vienna, Austria,UCCL05574 MB
SLC,Unidentified,4 May 1899,Vienna, Austria,UCCL14080
SLC,James B. Pond,4 April 1899,Vienna, Austria,UCCL05603 NN-BGC
SLC,Katharine I. Harrison,5 April 1899,Vienna, Austria,UCCL13248
SLC,John Brisben Walker,5 April 1899,Vienna, Austria,UCCL11586 CLjC
SLC,Franklin G. Whitmore,5 April 1899,Vienna, Austria,UCCL05575 CU-MARK
SLC,Chatto & Windus,10 April 1899,Vienna, Austria,UCCL05604 NN-BGC
SLC,Chatto & Windus,11 April 1899,Vienna, Austria,UCCL09484 UkReU
SLC,Francis E. Bliss,15 April 1899,Vienna, Austria,UCCL05576
SLC,Chatto & Windus,15 April 1899,Vienna, Austria,UCCL13504
SLC,Henry H. Rogers,18 April 1899,Vienna, Austria,UCCL05579 Salm
SLC,Annette Hullah,18 April 1899,Vienna, Austria,UCCL05578 CU-MARK
SLC,J. Henry Harper,19 April 1899,Vienna, Austria,UCCL12103
SLC,Wayne MacVeagh,20 April 1899,Vienna, Austria,UCCL12035 2018
SLC,Francis E. Bliss,22 April 1899,Vienna, Austria,UCCL05581 CtMy2
SLC,Samuel E. Moffett,25 April 1899,Vienna, Austria,UCCL05583 CU-MARK
SLC,Chatto & Windus,25 April 1899,Vienna, Austria,UCCL05605 NN-BGC 2022
SLC,John K. Bangs,27 April 1899,Vienna, Austria,UCCL05208
SLC,Chatto & Windus,30 April 1899,Vienna, Austria,UCCL11991 2022
SLC,Joseph H. Twichell,May 1899,Vienna, Austria,UCCL05599 CtY
SLC,Percy Spalding,3 May 1899,Vienna, Austria,UCCL05585 ViU
SLC,James R. and Katharine B. Clemens,3 May 1899,Vienna, Austria,UCCL08855 CtHMTH 2014
SLC,Joseph H. Twichell,4 May 1899,Vienna, Austria,UCCL12847 CU-MARK
SLC,John M. Hay,4 May 1899,Vienna, Austria,UCCL05586 DLC
SLC,Chatto & Windus,4 May 1899,Vienna, Austria,UCCL05606 NN-BGC
SLC,Ambrose Poynter,5 May 1899,Vienna, Austria,UCCL05587 CU-MARK 2011
SLC,Franklin G. Whitmore,9 May 1899,Vienna, Austria,UCCL05589 CU-MARK
SLC,Unidentified,10 May 1899,Vienna, Austria,UCCL12599
SLC,Percy Spalding,10 May 1899,Vienna, Austria,UCCL05591 ViU
SLC,Henry H. Rogers,10 May 1899,Vienna, Austria,UCCL05590 Salm
SLC,William Dean Howells,12–13 May 1899,Vienna, Austria,UCCL05607 NN-BGC 2015
SLC,Samuel E. Moffett,13 May 1899,Vienna, Austria,UCCL05592 CU-MARK
SLC,Richard Watson Gilder,15 May 1899,Vienna, Austria,UCCL09903
SLC,John Y. MacAlister,22 May 1899,Vienna, Austria,UCCL05593 CU-MARK
SLC,Unidentified,23 May 1899,Vienna, Austria,UCCL09361 NElmC
SLC,Eduard Potzl,23 May 1899,Vienna, Austria,UCCL12597 As2
SLC,Chatto & Windus,23 May 1899,Vienna, Austria,UCCL05608 NN-BGC
SLC,William T. Stead,24 May 1899,Vienna, Austria,UCCL13753 UkChel2
SLC,Percy Spalding,24 May 1899,Vienna, Austria,UCCL05596 ViU
SLC,James R. Clemens,24 May 1899,Vienna, Austria,UCCL05594 CtHMTH
SLC,Francis H. Skrine,24 May 1899,Vienna, Austria,UCCL05595 TxHuT
SLC,Mrs. Ludwig Karpath,22 May 1899,Vienna, Austria,UCCL13859 CU-MARK 2019
SLC,Johann Strauss,25 May 1899,Vienna, Austria,UCCL05597 As2 2019
SLC,Chatto & Windus,25 May 1899,Vienna, Austria,UCCL05609 NN-BGC
SLC,Auguste Wilbrandt-Baudius,25 May 1899,Vienna, Austria,UCCL09431 2019
SLC,Sidney G. Trist,26 May 1899,Vienna, Austria,UCCL05598
SLC,Eduard Potzl,26 May 1899,Vienna, Austria,UCCL12360 CU-MARK
SLC and OLC,Malvine Bree,29 May 1899,Kaltenleutgeben, Austria,UCCL05217 CU-MARK
Clara L. Clemens,Malvine Bree,29 May 1899,Kaltenleutgeben, Austria,UCCL10944 CU-MARK
SLC,Chatto & Windus,31 May 1899,Calais, France,UCCL05610 NN-BGC
SLC,Krantz Hotel,June 1899,London, England,UCCL05611 NN-BGC
SLC,Unidentified,1 June 1899,London, England,UCCL09713 NStBU
SLC,Poultney Bigelow,1 June 1899,London, England,UCCL05628 NMh
SLC,Joseph H. Twichell,1 June 1899,London, England,UCCL05637 CtY
OLC,Percy Spalding,1 June 1899,London, England,UCCL06797 NN-BGC
OLC,Andrew Chatto,1 June 1899,London, England,UCCL06774 NN-BGC
SLC,R. H. Russell,1–3 June 1899,London, England,UCCL07741 CRc2
SLC,Richard Watson Gilder,2 June 1899,London, England,UCCL05629
SLC,John Y. MacAlister,2 June 1899,London, England,UCCL05630 NjNH2
SLC,Charles C. Auchincloss,2 June 1899,London, England,UCCL11652
OLC,Susan L. Crane,2–4 June 1899,London, England,UCCL12848 CU-MARK 2015
SLC,John Y. MacAlister,3 June 1899,London, England,UCCL05631 CU-MARK
SLC,Chatto & Windus,4 June 1899,Broadstairs, England,UCCL05632 ViU
SLC,Henry H. Rogers,6 June 1899,Broadstairs, England,UCCL05634 Salm
SLC,Alice L. Bunner,6 June 1899,Broadstairs, England,UCCL05633 ViU
SLC,Adele H. Strauss,6 June 1899,Broadstairs, England,UCCL05635 As2
SLC,Percy Spalding,7 June 1899,Broadstairs, England,UCCL12468 2025
SLC,Percy Spalding,7 June 1899,Broadstairs, England,UCCL05612 NN-BGC 2025
SLC,Elizabeth N. Fairchild,7 June 1899,Broadstairs, England,UCCL14003 TxHuT 2023
SLC per Olivia L. Clemens,Franklin G. Whitmore,7 June 1899,Broadstairs, England,UCCL05636 CU-MARK
SLC,Unidentified,8 June 1899,Broadstairs, England,UCCL13823 2018
SLC,Chatto & Windus,9 June 1899,London, England,UCCL05614 NN-BGC
SLC,Chatto & Windus,9 June 1899,London, England,UCCL05613 NN-BGC
SLC,Douglas B. Sladen,10 June 1899,London, England,UCCL09110 UkL4
SLC,Unidentified,11 June 1899,London, England,UCCL12564
SLC,Unidentified,11 June 1899,London, England,UCCL05638 ViU
SLC,Douglas B. Sladen,11 June 1899,London, England,UCCL09109 UkL4
SLC,John W. MacAlister,13 June 1899,Vienna, Austria,UCCL12850 CU-MARK
SLC,Clara L. Clemens,15 June 1899,London, England,UCCL11455 CU-MARK 2014
SLC,Clara L. Clemens,15 June 1899,London, England,UCCL11454 CU-MARK 2014
SLC,Clara L. Clemens,15 June 1899,London, England,UCCL11453 CU-MARK 2014
SLC,Clara L. Clemens,15 June 1899,London, England,UCCL05639 CU-MARK 2014
Olivia L. Clemens,Bram Stoker,17 June 1899,London, England,UCCL05640 UkLeUBL 2024
SLC,Chatto & Windus,18 June 1899,London, England,UCCL09489 UkReU
SLC,Chatto & Windus,18 June 1899,London, England,UCCL05615 NN-BGC
SLC,Unidentified,21 June 1899,London, England,UCCL05641 ViU
SLC,Unidentified,22 June 1899,London, England,UCCL09703
SLC,Arthur Spurgeon,22 June 1899,London, England,UCCL13316 2024
SLC,William Knight,24 June 1899,London, England,UCCL05642 NNPM
SLC,H. F. Russell,24 June 1899,London, England,UCCL05643 NN5
SLC,Dr. Henry Walker,24 June 1899,London, England,UCCL12961 CSmH
OLC,Katharine B. Clemens,24 June 1899,London, England,UCCL02479 CtHMTH
SLC,Henry H. Rogers,25 June 1899,London, England,UCCL05644 Salm
SLC per Clara L. Clemens,Bram Stoker,28 June 1899,London, England,UCCL05645 JIm
OLC,Andrew Chatto,30 June 1899,London, England,UCCL06818 NN-BGC
SLC,Francis H. Skrine,1 July 1899,London, England,UCCL10569 Axelrod , CU-MARK 2023
SLC,Afsa Horner,1 July 1899,London, England,UCCL09362 CU-MARK
SLC,William D. Howells,3 July 1899,London, England,UCCL05616 NN-BGC
SLC,Joseph H. Twichell,3 July 1899,London, England,UCCL05647 CtY
SLC,Henry H. Rogers,3 July 1899,London, England,UCCL05646 Salm
SLC,Basil Wilberforce,3 July 1899,London, England,UCCL12325
SLC,Mrs. William Manning,4 July 1899,London, England,UCCL11671 InFw2
SLC,William Manning,5 July 1899,London, England,UCCL05648 TxU-Hu
SLC,Unidentified,5 July 1899,London, England,UCCL05650 NElmC
SLC,Francis H. Skrine,5 July 1899,London, England,UCCL05649 CaQMMRB
SLC,Donald MacAlister,5 July 1899,Vienna, Austria,UCCL13893 UkLoBM 2023
SLC,Percy Spalding,6 July 1899,London, England,UCCL05617 NN-BGC
SLC,Edmund W. Gosse,6 July 1899,London, England,UCCL05651 TxAu3
SLC and OLC,American Publishing Company,6 July 1899,London, England,UCCL13605 CU-MARK 2013
SLC,Douglas B. Sladen,7 July 1899,London, England,UCCL05652 ViU
SLC,Poultney Bigelow,10 July–27 September 1899,Sanna, Sweden,UCCL05661 NMh
SLC,Clara L. Clemens,12 July 1899,Sanna, Sweden,UCCL05653 CU-MARK
SLC,Laurence Hutton,13 July 1899,Sanna, Sweden,UCCL05654 NjP
SLC,Samuel E. Moffett,13–14 July 1899,Sanna, Sweden,UCCL05656 CU-MARK
SLC,Unidentified,14 July 1899,Sanna, Sweden,UCCL12337
SLC,Robert Lutz,14 July 1899,Sanna, Sweden,UCCL05655 MB
SLC,Willard Fiske,15 July 1899,Sanna, Sweden,UCCL11373 NIC
SLC,Irene Van Lanningham,15 July 1899,Sanna, Sweden,UCCL08615 CU-MARK
SLC,Chatto & Windus,16 July 1899,Sanna, Sweden,UCCL10570 CU-MARK
SLC,Mollie Clemens,18 July 1899,Sanna, Sweden,UCCL11356 CU-MARK
SLC,Miss Cohen,18 July 1899,Sanna, Sweden,UCCL11501
SLC,Richard Watson Gilder,23 July 1899,Sanna, Sweden,UCCL05657 CtY-BR
OLC,Percy Spalding,23 July 1899,Sanna, Sweden,UCCL06819 NN-BGC
SLC,Joseph Hatton,24 July 1899,Unknown place,UCCL12684
SLC,Poultney Bigelow,30 July 1899,Sanna, Sweden,UCCL05659 NMh
SLC,Phyl,30 July 1899,Sanna, Sweden,UCCL12349 2015
SLC,John Brisben Walker,30 July 1899,Sanna, Sweden,UCCL05658 CU-MARK
SLC,Elizabeth Robins,30 July 1899,Sanna, Sweden,UCCL11465 NNU-F 2025
SLC and OLC,Charles M. and Mary P. Fairbanks,31 July 1899,Sanna, Sweden,UCCL05660
SLC,Phyl,31 July 1899,Sanna, Sweden,UCCL12049
SLC,Unidentified,3 August 1899,Sanna, Sweden,UCCL11044 CtY
SLC,Henry H. Rogers,3 August 1899,Sanna, Sweden,UCCL05662 Salm
SLC,E. S.,7 August 1899,Sanna, Sweden,UCCL09363 RuMoRGB
SLC,Joseph H. Twichell,20 August 1899,Sanna, Sweden,UCCL12851 CU-MARK
Clara L. Clemens and OLC,Chatto & Windus,20 August 1899,Sanna, Sweden,UCCL06890 NN-BGC
SLC,Arthur Bave,21 August 1899,Sanna, Sweden,UCCL13304
SLC,Richard Watson Gilder,22 August 1899,Sanna, Sweden,UCCL05663 CtY-BR
SLC,Joseph H. Twichell,22 August 1899,Sanna, Sweden,UCCL12852 CU-MARK
SLC,Henry H. Rogers,22 August 1899,Sanna, Sweden,UCCL05664 Salm
SLC,John Tatlock,23 August 1899,Sanna, Sweden,UCCL12594
OLC,Chatto & Windus,23 August 1899,Sanna, Sweden,UCCL06993 NN-BGC
SLC,Hans L. Braekstad,24 August 1899,Sanna, Sweden,UCCL05665 NoOU
SLC,T. Douglas Murray,25 August 1899,Sanna, Sweden,UCCL05666 CU-MARK
SLC,T. Douglas Murray,29 August 1899,Sanna, Sweden,UCCL05556 CU-MARK
SLC,Poultney Bigelow,1 September 1899,Sanna, Sweden,UCCL05669 NMh
SLC,James B. Pond,1 September 1899,Sanna, Sweden,UCCL05619 NN-BGC
SLC,Dorothea Blatchford,September–December 1899,Unknown place,UCCL13228 2019
SLC,Francis E. Bliss,2 September 1899,Sanna, Sweden,UCCL13609 CU-MARK 2014
SLC,T. Douglas Murray,3 September 1899,Sanna, Sweden,UCCL05670 CU-MARK
SLC,Henry H. Rogers,3 September 1899,Sanna, Sweden,UCCL05671 Salm
SLC,Francis E. Bliss,3 September 1899,Sanna, Sweden,UCCL12853 CU-MARK
SLC,Joseph H. Twichell,6 September 1899,Sanna, Sweden,UCCL05672 CtY
SLC per Olivia L. Clemens,Chatto & Windus,7 September 1899,Sanna, Sweden,UCCL01404 UkReU
